algo,experiment,desc,val_r2,val_mse,val_rmse,val_mae,train_r2,train_mse,train_rmse,train_mae,diff
lasso,10,"hyper-parameters max_iter: 1000, alpha: 0.01",0.43165,875307.89312,935.57891,685.05057,0.42949,620896.86604,787.97009,551.36835,124.1033
lasso,10,"hyper-parameters max_iter: 2000, alpha: 0.01",0.43222,874427.38682,935.10822,688.10593,0.42954,620840.29856,787.9342,551.26776,124.57399
lasso,10,"hyper-parameters max_iter: 3000, alpha: 0.01",0.43234,874238.50528,935.00722,688.95082,0.42955,620834.50184,787.93052,551.24817,124.67499
lasso,10,"hyper-parameters max_iter: 4000, alpha: 0.01",0.43237,874192.42261,934.98258,689.15376,0.42955,620832.58548,787.9293,551.24267,124.69963
lasso,10,"hyper-parameters max_iter: 10, alpha: 1",0.4228,888930.29969,942.831,671.39705,0.42675,623877.1443,789.85894,552.56413,116.85121
lasso,10,"hyper-parameters max_iter: 50, alpha: 1",0.42684,882703.98606,939.52328,675.40806,0.42734,623236.4998,789.45329,552.22957,120.15893
lasso,10,"hyper-parameters max_iter: 100, alpha: 1",0.42737,881895.61985,939.09298,675.88766,0.42742,623153.26892,789.40058,552.18819,120.58923
lasso,10,"hyper-parameters max_iter: 500, alpha: 1",0.42783,881180.86623,938.71234,676.7083,0.42747,623101.88716,789.36803,552.18128,120.96987
lasso,10,"hyper-parameters max_iter: 1000, alpha: 1",0.42799,880935.12543,938.58144,677.04577,0.42747,623093.44195,789.36268,552.16757,121.10077
lasso,10,"hyper-parameters max_iter: 2000, alpha: 1",0.42801,880906.40708,938.56614,677.08298,0.42748,623091.75987,789.36162,552.16593,121.11607
lasso,10,"hyper-parameters max_iter: 3000, alpha: 1",0.42801,880906.40708,938.56614,677.08298,0.42748,623091.75987,789.36162,552.16593,121.11607
lasso,10,"hyper-parameters max_iter: 4000, alpha: 1",0.42801,880906.40708,938.56614,677.08298,0.42748,623091.75987,789.36162,552.16593,121.11607
lasso,10,"hyper-parameters max_iter: 10, alpha: 5",0.42008,893113.45051,945.0468,672.35771,0.42441,626424.85043,791.47006,552.10026,114.63541
lasso,10,"hyper-parameters max_iter: 50, alpha: 5",0.4237,887538.43962,942.09259,676.33259,0.42485,625954.01143,791.17255,552.1005,117.58962
lasso,10,"hyper-parameters max_iter: 100, alpha: 5",0.42403,887035.34568,941.82554,676.78914,0.42495,625842.42965,791.10203,552.07696,117.85667
lasso,10,"hyper-parameters max_iter: 500, alpha: 5",0.4242,886771.9832,941.68571,677.06604,0.42499,625794.06927,791.07147,552.07529,117.9965
lasso,10,"hyper-parameters max_iter: 1000, alpha: 5",0.4242,886771.9832,941.68571,677.06604,0.42499,625794.06927,791.07147,552.07529,117.9965
lasso,10,"hyper-parameters max_iter: 2000, alpha: 5",0.4242,886771.9832,941.68571,677.06604,0.42499,625794.06927,791.07147,552.07529,117.9965
lasso,10,"hyper-parameters max_iter: 3000, alpha: 5",0.4242,886771.9832,941.68571,677.06604,0.42499,625794.06927,791.07147,552.07529,117.9965
lasso,10,"hyper-parameters max_iter: 4000, alpha: 5",0.4242,886771.9832,941.68571,677.06604,0.42499,625794.06927,791.07147,552.07529,117.9965
lasso,10,"hyper-parameters max_iter: 10, alpha: 10",0.41955,893941.2041,945.48464,680.79488,0.4206,630572.64985,794.08605,554.27798,114.19757
lasso,10,"hyper-parameters max_iter: 50, alpha: 10",0.41985,893475.67123,945.23842,682.32901,0.42025,630952.48036,794.32517,554.79703,114.44379
lasso,10,"hyper-parameters max_iter: 100, alpha: 10",0.41992,893373.82395,945.18454,682.46391,0.42029,630915.98224,794.3022,554.77977,114.49767
lasso,10,"hyper-parameters max_iter: 500, alpha: 10",0.41995,893326.88729,945.15972,682.52431,0.4203,630898.52133,794.29121,554.77169,114.52249
lasso,10,"hyper-parameters max_iter: 1000, alpha: 10",0.41995,893326.88729,945.15972,682.52431,0.4203,630898.52133,794.29121,554.77169,114.52249
lasso,10,"hyper-parameters max_iter: 2000, alpha: 10",0.41995,893326.88729,945.15972,682.52431,0.4203,630898.52133,794.29121,554.77169,114.52249
lasso,10,"hyper-parameters max_iter: 3000, alpha: 10",0.41995,893326.88729,945.15972,682.52431,0.4203,630898.52133,794.29121,554.77169,114.52249
lasso,10,"hyper-parameters max_iter: 4000, alpha: 10",0.41995,893326.88729,945.15972,682.52431,0.4203,630898.52133,794.29121,554.77169,114.52249
lasso,10,"hyper-parameters max_iter: 10, alpha: 20",0.4107,907573.06313,952.66629,689.94602,0.41223,639680.83875,799.8005,560.86857,107.01592
lasso,10,"hyper-parameters max_iter: 50, alpha: 20",0.41088,907289.57652,952.51749,689.88278,0.41234,639565.49397,799.72839,560.81426,107.16472
lasso,10,"hyper-parameters max_iter: 100, alpha: 20",0.41088,907289.57652,952.51749,689.88278,0.41234,639565.49397,799.72839,560.81426,107.16472
lasso,10,"hyper-parameters max_iter: 500, alpha: 20",0.41088,907289.57652,952.51749,689.88278,0.41234,639565.49397,799.72839,560.81426,107.16472
lasso,10,"hyper-parameters max_iter: 1000, alpha: 20",0.41088,907289.57652,952.51749,689.88278,0.41234,639565.49397,799.72839,560.81426,107.16472
lasso,10,"hyper-parameters max_iter: 2000, alpha: 20",0.41088,907289.57652,952.51749,689.88278,0.41234,639565.49397,799.72839,560.81426,107.16472
lasso,10,"hyper-parameters max_iter: 3000, alpha: 20",0.41088,907289.57652,952.51749,689.88278,0.41234,639565.49397,799.72839,560.81426,107.16472
lasso,10,"hyper-parameters max_iter: 4000, alpha: 20",0.41088,907289.57652,952.51749,689.88278,0.41234,639565.49397,799.72839,560.81426,107.16472
ridge,11,"hyper-parameters max_iter: 10, alpha: 1e-15",0.43204,874693.78326,935.25065,684.5289,0.42964,620733.18998,787.86623,551.13192,124.43156
ridge,11,"hyper-parameters max_iter: 50, alpha: 1e-15",0.43204,874693.78326,935.25065,684.5289,0.42964,620733.18998,787.86623,551.13192,124.43156
ridge,11,"hyper-parameters max_iter: 100, alpha: 1e-15",0.43204,874693.78326,935.25065,684.5289,0.42964,620733.18998,787.86623,551.13192,124.43156
ridge,11,"hyper-parameters max_iter: 500, alpha: 1e-15",0.43204,874693.78326,935.25065,684.5289,0.42964,620733.18998,787.86623,551.13192,124.43156
ridge,11,"hyper-parameters max_iter: 1000, alpha: 1e-15",0.43204,874693.78326,935.25065,684.5289,0.42964,620733.18998,787.86623,551.13192,124.43156
ridge,11,"hyper-parameters max_iter: 2000, alpha: 1e-15",0.43204,874693.78326,935.25065,684.5289,0.42964,620733.18998,787.86623,551.13192,124.43156
ridge,11,"hyper-parameters max_iter: 3000, alpha: 1e-15",0.43204,874693.78326,935.25065,684.5289,0.42964,620733.18998,787.86623,551.13192,124.43156
ridge,11,"hyper-parameters max_iter: 4000, alpha: 1e-15",0.43204,874693.78326,935.25065,684.5289,0.42964,620733.18998,787.86623,551.13192,124.43156
ridge,11,"hyper-parameters max_iter: 10, alpha: 1e-10",0.43204,874693.78326,935.25065,684.5289,0.42964,620733.18998,787.86623,551.13192,124.43156
ridge,11,"hyper-parameters max_iter: 50, alpha: 1e-10",0.43204,874693.78326,935.25065,684.5289,0.42964,620733.18998,787.86623,551.13192,124.43156
ridge,11,"hyper-parameters max_iter: 100, alpha: 1e-10",0.43204,874693.78326,935.25065,684.5289,0.42964,620733.18998,787.86623,551.13192,124.43156
ridge,11,"hyper-parameters max_iter: 500, alpha: 1e-10",0.43204,874693.78326,935.25065,684.5289,0.42964,620733.18998,787.86623,551.13192,124.43156
ridge,11,"hyper-parameters max_iter: 1000, alpha: 1e-10",0.43204,874693.78326,935.25065,684.5289,0.42964,620733.18998,787.86623,551.13192,124.43156
ridge,11,"hyper-parameters max_iter: 2000, alpha: 1e-10",0.43204,874693.78326,935.25065,684.5289,0.42964,620733.18998,787.86623,551.13192,124.43156
ridge,11,"hyper-parameters max_iter: 3000, alpha: 1e-10",0.43204,874693.78326,935.25065,684.5289,0.42964,620733.18998,787.86623,551.13192,124.43156
ridge,11,"hyper-parameters max_iter: 4000, alpha: 1e-10",0.43204,874693.78326,935.25065,684.5289,0.42964,620733.18998,787.86623,551.13192,124.43156
ridge,11,"hyper-parameters max_iter: 10, alpha: 1e-08",0.43204,874693.78325,935.25065,684.5289,0.42964,620733.18998,787.86623,551.13192,124.43156
ridge,11,"hyper-parameters max_iter: 50, alpha: 1e-08",0.43204,874693.78325,935.25065,684.5289,0.42964,620733.18998,787.86623,551.13192,124.43156
ridge,11,"hyper-parameters max_iter: 100, alpha: 1e-08",0.43204,874693.78325,935.25065,684.5289,0.42964,620733.18998,787.86623,551.13192,124.43156
ridge,11,"hyper-parameters max_iter: 500, alpha: 1e-08",0.43204,874693.78325,935.25065,684.5289,0.42964,620733.18998,787.86623,551.13192,124.43156
ridge,11,"hyper-parameters max_iter: 1000, alpha: 1e-08",0.43204,874693.78325,935.25065,684.5289,0.42964,620733.18998,787.86623,551.13192,124.43156
ridge,11,"hyper-parameters max_iter: 2000, alpha: 1e-08",0.43204,874693.78325,935.25065,684.5289,0.42964,620733.18998,787.86623,551.13192,124.43156
ridge,11,"hyper-parameters max_iter: 3000, alpha: 1e-08",0.43204,874693.78325,935.25065,684.5289,0.42964,620733.18998,787.86623,551.13192,124.43156
ridge,11,"hyper-parameters max_iter: 4000, alpha: 1e-08",0.43204,874693.78325,935.25065,684.5289,0.42964,620733.18998,787.86623,551.13192,124.43156
ridge,11,"hyper-parameters max_iter: 10, alpha: 0.0001",0.43204,874693.72353,935.25062,684.5292,0.42964,620733.18998,787.86623,551.13193,124.43159
ridge,11,"hyper-parameters max_iter: 50, alpha: 0.0001",0.43204,874693.72353,935.25062,684.5292,0.42964,620733.18998,787.86623,551.13193,124.43159
ridge,11,"hyper-parameters max_iter: 100, alpha: 0.0001",0.43204,874693.72353,935.25062,684.5292,0.42964,620733.18998,787.86623,551.13193,124.43159
ridge,11,"hyper-parameters max_iter: 500, alpha: 0.0001",0.43204,874693.72353,935.25062,684.5292,0.42964,620733.18998,787.86623,551.13193,124.43159
ridge,11,"hyper-parameters max_iter: 1000, alpha: 0.0001",0.43204,874693.72353,935.25062,684.5292,0.42964,620733.18998,787.86623,551.13193,124.43159
ridge,11,"hyper-parameters max_iter: 2000, alpha: 0.0001",0.43204,874693.72353,935.25062,684.5292,0.42964,620733.18998,787.86623,551.13193,124.43159
ridge,11,"hyper-parameters max_iter: 3000, alpha: 0.0001",0.43204,874693.72353,935.25062,684.5292,0.42964,620733.18998,787.86623,551.13193,124.43159
ridge,11,"hyper-parameters max_iter: 4000, alpha: 0.0001",0.43204,874693.72353,935.25062,684.5292,0.42964,620733.18998,787.86623,551.13193,124.43159
ridge,11,"hyper-parameters max_iter: 10, alpha: 0.001",0.43205,874693.1879,935.25033,684.53195,0.42964,620733.19015,787.86623,551.13201,124.43188
ridge,11,"hyper-parameters max_iter: 50, alpha: 0.001",0.43205,874693.1879,935.25033,684.53195,0.42964,620733.19015,787.86623,551.13201,124.43188
ridge,11,"hyper-parameters max_iter: 100, alpha: 0.001",0.43205,874693.1879,935.25033,684.53195,0.42964,620733.19015,787.86623,551.13201,124.43188
ridge,11,"hyper-parameters max_iter: 500, alpha: 0.001",0.43205,874693.1879,935.25033,684.53195,0.42964,620733.19015,787.86623,551.13201,124.43188
ridge,11,"hyper-parameters max_iter: 1000, alpha: 0.001",0.43205,874693.1879,935.25033,684.53195,0.42964,620733.19015,787.86623,551.13201,124.43188
ridge,11,"hyper-parameters max_iter: 2000, alpha: 0.001",0.43205,874693.1879,935.25033,684.53195,0.42964,620733.19015,787.86623,551.13201,124.43188
ridge,11,"hyper-parameters max_iter: 3000, alpha: 0.001",0.43205,874693.1879,935.25033,684.53195,0.42964,620733.19015,787.86623,551.13201,124.43188
ridge,11,"hyper-parameters max_iter: 4000, alpha: 0.001",0.43205,874693.1879,935.25033,684.53195,0.42964,620733.19015,787.86623,551.13201,124.43188
ridge,11,"hyper-parameters max_iter: 10, alpha: 0.01",0.43205,874688.01707,935.24757,684.55884,0.42964,620733.20676,787.86624,551.13279,124.43464
ridge,11,"hyper-parameters max_iter: 50, alpha: 0.01",0.43205,874688.01707,935.24757,684.55884,0.42964,620733.20676,787.86624,551.13279,124.43464
ridge,11,"hyper-parameters max_iter: 100, alpha: 0.01",0.43205,874688.01707,935.24757,684.55884,0.42964,620733.20676,787.86624,551.13279,124.43464
ridge,11,"hyper-parameters max_iter: 500, alpha: 0.01",0.43205,874688.01707,935.24757,684.55884,0.42964,620733.20676,787.86624,551.13279,124.43464
ridge,11,"hyper-parameters max_iter: 1000, alpha: 0.01",0.43205,874688.01707,935.24757,684.55884,0.42964,620733.20676,787.86624,551.13279,124.43464
ridge,11,"hyper-parameters max_iter: 2000, alpha: 0.01",0.43205,874688.01707,935.24757,684.55884,0.42964,620733.20676,787.86624,551.13279,124.43464
ridge,11,"hyper-parameters max_iter: 3000, alpha: 0.01",0.43205,874688.01707,935.24757,684.55884,0.42964,620733.20676,787.86624,551.13279,124.43464
ridge,11,"hyper-parameters max_iter: 4000, alpha: 0.01",0.43205,874688.01707,935.24757,684.55884,0.42964,620733.20676,787.86624,551.13279,124.43464
ridge,11,"hyper-parameters max_iter: 10, alpha: 1",0.43192,874879.40972,935.34989,684.97436,0.42959,620788.13336,787.90109,551.23308,124.33232
ridge,11,"hyper-parameters max_iter: 50, alpha: 1",0.43192,874879.40972,935.34989,684.97436,0.42959,620788.13336,787.90109,551.23308,124.33232
ridge,11,"hyper-parameters max_iter: 100, alpha: 1",0.43192,874879.40972,935.34989,684.97436,0.42959,620788.13336,787.90109,551.23308,124.33232
ridge,11,"hyper-parameters max_iter: 500, alpha: 1",0.43192,874879.40972,935.34989,684.97436,0.42959,620788.13336,787.90109,551.23308,124.33232
ridge,11,"hyper-parameters max_iter: 1000, alpha: 1",0.43192,874879.40972,935.34989,684.97436,0.42959,620788.13336,787.90109,551.23308,124.33232
ridge,11,"hyper-parameters max_iter: 2000, alpha: 1",0.43192,874879.40972,935.34989,684.97436,0.42959,620788.13336,787.90109,551.23308,124.33232
ridge,11,"hyper-parameters max_iter: 3000, alpha: 1",0.43192,874879.40972,935.34989,684.97436,0.42959,620788.13336,787.90109,551.23308,124.33232
ridge,11,"hyper-parameters max_iter: 4000, alpha: 1",0.43192,874879.40972,935.34989,684.97436,0.42959,620788.13336,787.90109,551.23308,124.33232
ridge,11,"hyper-parameters max_iter: 10, alpha: 5",0.43087,876501.93052,936.21682,682.14886,0.42933,621068.88875,788.07924,551.54667,123.46539
ridge,11,"hyper-parameters max_iter: 50, alpha: 5",0.43087,876501.93052,936.21682,682.14886,0.42933,621068.88875,788.07924,551.54667,123.46539
ridge,11,"hyper-parameters max_iter: 100, alpha: 5",0.43087,876501.93052,936.21682,682.14886,0.42933,621068.88875,788.07924,551.54667,123.46539
ridge,11,"hyper-parameters max_iter: 500, alpha: 5",0.43087,876501.93052,936.21682,682.14886,0.42933,621068.88875,788.07924,551.54667,123.46539
ridge,11,"hyper-parameters max_iter: 1000, alpha: 5",0.43087,876501.93052,936.21682,682.14886,0.42933,621068.88875,788.07924,551.54667,123.46539
ridge,11,"hyper-parameters max_iter: 2000, alpha: 5",0.43087,876501.93052,936.21682,682.14886,0.42933,621068.88875,788.07924,551.54667,123.46539
ridge,11,"hyper-parameters max_iter: 3000, alpha: 5",0.43087,876501.93052,936.21682,682.14886,0.42933,621068.88875,788.07924,551.54667,123.46539
ridge,11,"hyper-parameters max_iter: 4000, alpha: 5",0.43087,876501.93052,936.21682,682.14886,0.42933,621068.88875,788.07924,551.54667,123.46539
ridge,11,"hyper-parameters max_iter: 10, alpha: 10",0.43008,877714.33459,936.8641,680.43646,0.42908,621349.33004,788.25715,551.79462,122.81811
ridge,11,"hyper-parameters max_iter: 50, alpha: 10",0.43008,877714.33459,936.8641,680.43646,0.42908,621349.33004,788.25715,551.79462,122.81811
ridge,11,"hyper-parameters max_iter: 100, alpha: 10",0.43008,877714.33459,936.8641,680.43646,0.42908,621349.33004,788.25715,551.79462,122.81811
ridge,11,"hyper-parameters max_iter: 500, alpha: 10",0.43008,877714.33459,936.8641,680.43646,0.42908,621349.33004,788.25715,551.79462,122.81811
ridge,11,"hyper-parameters max_iter: 1000, alpha: 10",0.43008,877714.33459,936.8641,680.43646,0.42908,621349.33004,788.25715,551.79462,122.81811
ridge,11,"hyper-parameters max_iter: 2000, alpha: 10",0.43008,877714.33459,936.8641,680.43646,0.42908,621349.33004,788.25715,551.79462,122.81811
ridge,11,"hyper-parameters max_iter: 3000, alpha: 10",0.43008,877714.33459,936.8641,680.43646,0.42908,621349.33004,788.25715,551.79462,122.81811
ridge,11,"hyper-parameters max_iter: 4000, alpha: 10",0.43008,877714.33459,936.8641,680.43646,0.42908,621349.33004,788.25715,551.79462,122.81811
ridge,11,"hyper-parameters max_iter: 10, alpha: 20",0.42926,878981.84303,937.54032,679.20883,0.42874,621711.37222,788.48676,552.03971,122.14189
ridge,11,"hyper-parameters max_iter: 50, alpha: 20",0.42926,878981.84303,937.54032,679.20883,0.42874,621711.37222,788.48676,552.03971,122.14189
ridge,11,"hyper-parameters max_iter: 100, alpha: 20",0.42926,878981.84303,937.54032,679.20883,0.42874,621711.37222,788.48676,552.03971,122.14189
ridge,11,"hyper-parameters max_iter: 500, alpha: 20",0.42926,878981.84303,937.54032,679.20883,0.42874,621711.37222,788.48676,552.03971,122.14189
ridge,11,"hyper-parameters max_iter: 1000, alpha: 20",0.42926,878981.84303,937.54032,679.20883,0.42874,621711.37222,788.48676,552.03971,122.14189
ridge,11,"hyper-parameters max_iter: 2000, alpha: 20",0.42926,878981.84303,937.54032,679.20883,0.42874,621711.37222,788.48676,552.03971,122.14189
ridge,11,"hyper-parameters max_iter: 3000, alpha: 20",0.42926,878981.84303,937.54032,679.20883,0.42874,621711.37222,788.48676,552.03971,122.14189
ridge,11,"hyper-parameters max_iter: 4000, alpha: 20",0.42926,878981.84303,937.54032,679.20883,0.42874,621711.37222,788.48676,552.03971,122.14189
