algo,experiment,desc,val_r2,val_mse,val_rmse,val_mae,train_r2,train_mse,train_rmse,train_mae,diff
xgb,25,"hyper-params booster='gbtree', learning_rate: 0.1, n_estimators: 1000, max_depth: 5, min_child_weight: 10, colsample_bytree: 0.8",0.93633,98054.20989,313.13609,206.78388,0.99498,5458.55022,73.882,48.85844,746.54612
xgb,25,"hyper-params booster='gbtree', learning_rate: 0.1, n_estimators: 1000, max_depth: 6, min_child_weight: 4, colsample_bytree: 0.4",0.93556,99249.70869,315.03922,211.20684,0.99802,2152.54936,46.39557,32.12316,744.64299
xgb,25,"hyper-params booster='gbtree', learning_rate: 0.1, n_estimators: 1000, max_depth: 6, min_child_weight: 4, colsample_bytree: 0.6",0.92661,113027.42158,336.19551,226.21394,0.99838,1764.77213,42.00919,28.82025,723.4867
xgb,25,"hyper-params booster='gbtree', learning_rate: 0.1, n_estimators: 1000, max_depth: 6, min_child_weight: 4, colsample_bytree: 0.8",0.93246,104015.35293,322.51411,216.67649,0.99849,1643.3092,40.53775,27.6818,737.1681
xgb,25,"hyper-params booster='gbtree', learning_rate: 0.1, n_estimators: 1000, max_depth: 6, min_child_weight: 5, colsample_bytree: 0.4",0.93806,95387.37947,308.84847,210.28502,0.99782,2375.90568,48.74326,33.42386,750.83374
xgb,25,"hyper-params booster='gbtree', learning_rate: 0.1, n_estimators: 1000, max_depth: 6, min_child_weight: 5, colsample_bytree: 0.6",0.93616,98319.11776,313.55879,212.10042,0.99824,1919.88292,43.81647,29.77435,746.12342
xgb,25,"hyper-params booster='gbtree', learning_rate: 0.1, n_estimators: 1000, max_depth: 6, min_child_weight: 5, colsample_bytree: 0.8",0.93543,99438.51093,315.33872,208.13478,0.99848,1650.20923,40.62277,27.75784,744.34349
xgb,25,"hyper-params booster='gbtree', learning_rate: 0.1, n_estimators: 1000, max_depth: 6, min_child_weight: 6, colsample_bytree: 0.4",0.93435,101106.09273,317.97184,214.25104,0.99764,2563.98511,50.63581,34.44506,741.71037
xgb,25,"hyper-params booster='gbtree', learning_rate: 0.1, n_estimators: 1000, max_depth: 6, min_child_weight: 6, colsample_bytree: 0.6",0.93072,106696.77941,326.64473,219.58694,0.99807,2096.158,45.78382,31.02801,733.03748
xgb,25,"hyper-params booster='gbtree', learning_rate: 0.1, n_estimators: 1000, max_depth: 6, min_child_weight: 6, colsample_bytree: 0.8",0.93584,98811.72366,314.34332,209.61438,0.99818,1981.98761,44.51952,30.16217,745.33889
